Node1,Node2
AS_South Salmara Mankachar,ML_West Garo Hills
AS_West Karbi Anglong,ML_Ribhoi
AS_West Karbi Anglong,ML_West Jaintia Hills
BR_Araria,BR_Kishanganj
BR_Araria,BR_Madhepura
BR_Araria,BR_Purnia
BR_Araria,BR_Supaul
BR_Arwal,BR_Aurangabad
BR_Arwal,BR_Bhojpur
BR_Arwal,BR_Gaya
BR_Arwal,BR_Jehanabad
BR_Arwal,BR_Patna
BR_Arwal,BR_Rohtas
BR_Aurangabad,BR_Gaya
BR_Aurangabad,BR_Rohtas
BR_Aurangabad,JH_Palamu
BR_Banka,BR_Bhagalpur
BR_Banka,BR_Jamui
BR_Banka,BR_Munger
BR_Banka,JH_Deoghar
BR_Banka,JH_Dumka
BR_Banka,JH_Godda
BR_Begusarai,BR_Khagaria
BR_Begusarai,BR_Lakhisarai
BR_Begusarai,BR_Munger
BR_Begusarai,BR_Patna
BR_Begusarai,BR_Samastipur
BR_Bhagalpur,BR_Katihar
BR_Bhagalpur,BR_Khagaria
BR_Bhagalpur,BR_Madhepura
BR_Bhagalpur,BR_Munger
BR_Bhagalpur,BR_Purnia
BR_Bhagalpur,JH_Godda
BR_Bhagalpur,JH_Sahibganj
BR_Bhojpur,BR_Buxar
BR_Bhojpur,BR_Patna
BR_Bhojpur,BR_Rohtas
BR_Bhojpur,BR_Saran
BR_Bhojpur,UP_Ballia
BR_Buxar,BR_Kaimur
BR_Buxar,BR_Rohtas
BR_Buxar,UP_Ballia
BR_Buxar,UP_Ghazipur
BR_Darbhanga,BR_Madhubani
BR_Darbhanga,BR_Muzaffarpur
BR_Darbhanga,BR_Saharsa
BR_Darbhanga,BR_Samastipur
BR_Darbhanga,BR_Sitamarhi
BR_East Champaran,BR_Gopalganj
BR_East Champaran,BR_Muzaffarpur
BR_East Champaran,BR_Sheohar
BR_East Champaran,BR_Sitamarhi
BR_East Champaran,BR_West Champaran
BR_Gaya,BR_Jehanabad
BR_Gaya,BR_Nalanda
BR_Gaya,BR_Nawada
BR_Gaya,JH_Chatra
BR_Gaya,JH_Hazaribagh
BR_Gaya,JH_Koderma
BR_Gaya,JH_Palamu
BR_Gopalganj,BR_Muzaffarpur
BR_Gopalganj,BR_Saran
BR_Gopalganj,BR_Siwan
BR_Gopalganj,BR_West Champaran
BR_Gopalganj,UP_Deoria
BR_Gopalganj,UP_Kushinagar
BR_Jamui,BR_Lakhisarai
BR_Jamui,BR_Munger
BR_Jamui,BR_Nawada
BR_Jamui,BR_Sheikhpura
BR_Jamui,JH_Deoghar
BR_Jamui,JH_Giridih
BR_Jehanabad,BR_Nalanda
BR_Jehanabad,BR_Patna
BR_Kaimur,BR_Rohtas
BR_Kaimur,UP_Chandauli
BR_Kaimur,UP_Ghazipur
BR_Kaimur,UP_Sonbhadra
BR_Katihar,BR_Purnia
BR_Katihar,JH_Sahibganj
BR_Katihar,WB_Malda
BR_Katihar,WB_Uttar Dinajpur
BR_Khagaria,BR_Madhepura
BR_Khagaria,BR_Munger
BR_Khagaria,BR_Saharsa
BR_Khagaria,BR_Samastipur
BR_Kishanganj,BR_Purnia
BR_Kishanganj,WB_Darjeeling
BR_Kishanganj,WB_Uttar Dinajpur
BR_Lakhisarai,BR_Munger
BR_Lakhisarai,BR_Nalanda
BR_Lakhisarai,BR_Patna
BR_Lakhisarai,BR_Sheikhpura
BR_Madhepura,BR_Purnia
BR_Madhepura,BR_Saharsa
BR_Madhepura,BR_Supaul
BR_Madhubani,BR_Saharsa
BR_Madhubani,BR_Sitamarhi
BR_Madhubani,BR_Supaul
BR_Muzaffarpur,BR_Samastipur
BR_Muzaffarpur,BR_Saran
BR_Muzaffarpur,BR_Sheohar
BR_Muzaffarpur,BR_Sitamarhi
BR_Muzaffarpur,BR_Vaishali
BR_Nalanda,BR_Nawada
BR_Nalanda,BR_Patna
BR_Nalanda,BR_Sheikhpura
BR_Nawada,BR_Sheikhpura
BR_Nawada,JH_Giridih
BR_Nawada,JH_Koderma
BR_Patna,BR_Samastipur
BR_Patna,BR_Saran
BR_Patna,BR_Vaishali
BR_Purnia,WB_Uttar Dinajpur
BR_Rohtas,JH_Garhwa
BR_Rohtas,JH_Palamu
BR_Rohtas,UP_Sonbhadra
BR_Saharsa,BR_Samastipur
BR_Saharsa,BR_Supaul
BR_Samastipur,BR_Vaishali
BR_Saran,BR_Siwan
BR_Saran,BR_Vaishali
BR_Saran,UP_Ballia
BR_Sheohar,BR_Sitamarhi
BR_Siwan,UP_Ballia
BR_Siwan,UP_Deoria
BR_West Champaran,UP_Kushinagar
BR_West Champaran,UP_Maharajganj
CH_Chandigarh,HR_Panchkula
CH_Chandigarh,PB_S.A.S. Nagar
CT_Balod,CT_Dhamtari
CT_Balod,CT_Durg
CT_Balod,CT_Rajnandgaon
CT_Balod,CT_Uttar Bastar Kanker
CT_Baloda Bazar,CT_Bametara
CT_Baloda Bazar,CT_Bilaspur
CT_Baloda Bazar,CT_Janjgir Champa
CT_Baloda Bazar,CT_Mahasamund
CT_Baloda Bazar,CT_Mungeli
CT_Baloda Bazar,CT_Raigarh
CT_Baloda Bazar,CT_Raipur
CT_Balrampur,CT_Jashpur
CT_Balrampur,CT_Surajpur
CT_Balrampur,CT_Surguja
CT_Balrampur,JH_Garhwa
CT_Balrampur,JH_Gumla
CT_Balrampur,JH_Latehar
CT_Balrampur,MP_Singrauli
CT_Balrampur,UP_Sonbhadra
CT_Bametara,CT_Durg
CT_Bametara,CT_Kabeerdham
CT_Bametara,CT_Mungeli
CT_Bametara,CT_Raipur
CT_Bametara,CT_Rajnandgaon
CT_Bastar,CT_Dakshin Bastar Dantewada
CT_Bastar,CT_Kondagaon
CT_Bastar,CT_Sukma
CT_Bastar,OR_Koraput
CT_Bastar,OR_Malkangiri
CT_Bastar,OR_Nabarangapur
CT_Bijapur,CT_Dakshin Bastar Dantewada
CT_Bijapur,CT_Narayanpur
CT_Bijapur,CT_Sukma
CT_Bijapur,MH_Gadchiroli
CT_Bijapur,TG_Bhadradri Kothagudem
CT_Bijapur,TG_Jayashankar Bhupalapally
CT_Bijapur,TG_Mulugu
CT_Bilaspur,CT_Janjgir Champa
CT_Bilaspur,CT_Korba
CT_Bilaspur,CT_Koriya
CT_Bilaspur,CT_Mungeli
CT_Bilaspur,MP_Anuppur
CT_Dakshin Bastar Dantewada,CT_Kondagaon
CT_Dakshin Bastar Dantewada,CT_Narayanpur
CT_Dakshin Bastar Dantewada,CT_Sukma
CT_Dhamtari,CT_Durg
CT_Dhamtari,CT_Gariaband
CT_Dhamtari,CT_Kondagaon
CT_Dhamtari,CT_Raipur
CT_Dhamtari,CT_Uttar Bastar Kanker
CT_Dhamtari,OR_Nabarangapur
CT_Durg,CT_Raipur
CT_Durg,CT_Rajnandgaon
CT_Gariaband,CT_Mahasamund
CT_Gariaband,CT_Raipur
CT_Gariaband,OR_Kalahandi
CT_Gariaband,OR_Nabarangapur
CT_Gariaband,OR_Nuapada
CT_Janjgir Champa,CT_Korba
CT_Janjgir Champa,CT_Raigarh
CT_Jashpur,CT_Raigarh
CT_Jashpur,CT_Surguja
CT_Jashpur,JH_Gumla
CT_Jashpur,JH_Simdega
CT_Jashpur,OR_Sundargarh
CT_Kabeerdham,CT_Mungeli
CT_Kabeerdham,CT_Rajnandgaon
CT_Kabeerdham,MP_Balaghat
CT_Kabeerdham,MP_Dindori
CT_Kabeerdham,MP_Mandla
CT_Kondagaon,CT_Narayanpur
CT_Kondagaon,CT_Uttar Bastar Kanker
CT_Kondagaon,OR_Nabarangapur
CT_Korba,CT_Koriya
CT_Korba,CT_Raigarh
CT_Korba,CT_Surajpur
CT_Korba,CT_Surguja
CT_Koriya,CT_Surajpur
CT_Koriya,MP_Anuppur
CT_Koriya,MP_Shahdol
CT_Koriya,MP_Sidhi
CT_Koriya,MP_Singrauli
CT_Mahasamund,CT_Raigarh
CT_Mahasamund,CT_Raipur
CT_Mahasamund,OR_Bargarh
CT_Mahasamund,OR_Nuapada
CT_Mungeli,MP_Anuppur
CT_Mungeli,MP_Dindori
CT_Narayanpur,CT_Uttar Bastar Kanker
CT_Narayanpur,MH_Gadchiroli
CT_Raigarh,CT_Surguja
CT_Raigarh,OR_Bargarh
CT_Raigarh,OR_Jharsuguda
CT_Raigarh,OR_Sundargarh
CT_Rajnandgaon,CT_Uttar Bastar Kanker
CT_Rajnandgaon,MH_Gadchiroli
CT_Rajnandgaon,MH_Gondia
CT_Rajnandgaon,MP_Balaghat
CT_Sukma,OR_Malkangiri
CT_Sukma,TG_Bhadradri Kothagudem
CT_Surajpur,CT_Surguja
CT_Surajpur,MP_Singrauli
CT_Uttar Bastar Kanker,MH_Gadchiroli
DL_Delhi,HR_Faridabad
DL_Delhi,HR_Gurugram
DL_Delhi,HR_Jhajjar
DL_Delhi,HR_Sonipat
DL_Delhi,UP_Baghpat
DL_Delhi,UP_Gautam Buddha Nagar
DL_Delhi,UP_Ghaziabad
DN_Dadra and Nagar Haveli,GJ_Valsad
DN_Dadra and Nagar Haveli,MH_Palghar
DN_Daman,GJ_Valsad
DN_Diu,GJ_Gir Somnath
GA_North Goa,GA_South Goa
GA_North Goa,KA_Belagavi
GA_North Goa,KA_Uttara Kannada
GA_North Goa,MH_Sindhudurg
GA_South Goa,KA_Uttara Kannada
GJ_Ahmedabad,GJ_Anand
GJ_Ahmedabad,GJ_Bhavnagar
GJ_Ahmedabad,GJ_Botad
GJ_Ahmedabad,GJ_Gandhinagar
GJ_Ahmedabad,GJ_Kheda
GJ_Ahmedabad,GJ_Mehsana
GJ_Ahmedabad,GJ_Surendranagar
GJ_Amreli,GJ_Bhavnagar
GJ_Amreli,GJ_Botad
GJ_Amreli,GJ_Gir Somnath
GJ_Amreli,GJ_Junagadh
GJ_Amreli,GJ_Rajkot
GJ_Anand,GJ_Bharuch
GJ_Anand,GJ_Kheda
GJ_Anand,GJ_Vadodara
GJ_Aravalli,GJ_Gandhinagar
GJ_Aravalli,GJ_Kheda
GJ_Aravalli,GJ_Mahisagar
GJ_Aravalli,GJ_Sabarkantha
GJ_Aravalli,RJ_Dungarpur
GJ_Aravalli,RJ_Udaipur
GJ_Banaskantha,GJ_Kutch
GJ_Banaskantha,GJ_Mehsana
GJ_Banaskantha,GJ_Patan
GJ_Banaskantha,GJ_Sabarkantha
GJ_Banaskantha,RJ_Jalore
GJ_Banaskantha,RJ_Sirohi
GJ_Bharuch,GJ_Narmada
GJ_Bharuch,GJ_Surat
GJ_Bharuch,GJ_Vadodara
GJ_Bhavnagar,GJ_Botad
GJ_Botad,GJ_Rajkot
GJ_Botad,GJ_Surendranagar
GJ_Chhota Udaipur,GJ_Dahod
GJ_Chhota Udaipur,GJ_Narmada
GJ_Chhota Udaipur,GJ_Panchmahal
GJ_Chhota Udaipur,GJ_Vadodara
GJ_Chhota Udaipur,MH_Nandurbar
GJ_Chhota Udaipur,MP_Alirajpur
GJ_Dahod,GJ_Mahisagar
GJ_Dahod,GJ_Panchmahal
GJ_Dahod,MP_Alirajpur
GJ_Dahod,MP_Jhabua
GJ_Dahod,RJ_Banswara
GJ_Dang,GJ_Navsari
GJ_Dang,GJ_Tapi
GJ_Dang,MH_Dhule
GJ_Dang,MH_Nashik
GJ_Devbhumi Dwarka,GJ_Jamnagar
GJ_Devbhumi Dwarka,GJ_Porbandar
GJ_Gandhinagar,GJ_Kheda
GJ_Gandhinagar,GJ_Mehsana
GJ_Gandhinagar,GJ_Sabarkantha
GJ_Gir Somnath,GJ_Junagadh
GJ_Jamnagar,GJ_Morbi
GJ_Jamnagar,GJ_Porbandar
GJ_Jamnagar,GJ_Rajkot
GJ_Junagadh,GJ_Porbandar
GJ_Junagadh,GJ_Rajkot
GJ_Kheda,GJ_Mahisagar
GJ_Kheda,GJ_Panchmahal
GJ_Kheda,GJ_Vadodara
GJ_Kutch,GJ_Morbi
GJ_Kutch,GJ_Patan
GJ_Kutch,GJ_Surendranagar
GJ_Kutch,RJ_Barmer
GJ_Kutch,RJ_Jalore
GJ_Mahisagar,GJ_Panchmahal
GJ_Mahisagar,RJ_Banswara
GJ_Mahisagar,RJ_Dungarpur
GJ_Mehsana,GJ_Patan
GJ_Mehsana,GJ_Sabarkantha
GJ_Mehsana,GJ_Surendranagar
GJ_Morbi,GJ_Rajkot
GJ_Morbi,GJ_Surendranagar
GJ_Narmada,GJ_Surat
GJ_Narmada,GJ_Tapi
GJ_Narmada,GJ_Vadodara
GJ_Narmada,MH_Nandurbar
GJ_Navsari,GJ_Surat
GJ_Navsari,GJ_Tapi
GJ_Navsari,GJ_Valsad
GJ_Navsari,MH_Nashik
GJ_Panchmahal,GJ_Vadodara
GJ_Patan,GJ_Surendranagar
GJ_Porbandar,GJ_Rajkot
GJ_Rajkot,GJ_Surendranagar
GJ_Sabarkantha,RJ_Sirohi
GJ_Sabarkantha,RJ_Udaipur
GJ_Surat,GJ_Tapi
GJ_Tapi,MH_Dhule
GJ_Tapi,MH_Nandurbar
GJ_Valsad,MH_Nashik
GJ_Valsad,MH_Palghar
HP_Bilaspur,HP_Hamirpur
HP_Bilaspur,HP_Mandi
HP_Bilaspur,HP_Solan
HP_Bilaspur,HP_Una
HP_Bilaspur,PB_Rupnagar
HP_Chamba,HP_Kangra
HP_Chamba,HP_Lahaul and Spiti
HP_Chamba,JK_Doda
HP_Chamba,JK_Kathua
HP_Chamba,JK_Kishtwar
HP_Chamba,PB_Pathankot
HP_Hamirpur,HP_Kangra
HP_Hamirpur,HP_Mandi
HP_Hamirpur,HP_Una
HP_Kangra,HP_Kullu
HP_Kangra,HP_Lahaul and Spiti
HP_Kangra,HP_Mandi
HP_Kangra,HP_Una
HP_Kangra,PB_Gurdaspur
HP_Kangra,PB_Hoshiarpur
HP_Kangra,PB_Pathankot
HP_Kinnaur,HP_Kullu
HP_Kinnaur,HP_Lahaul and Spiti
HP_Kinnaur,HP_Shimla
HP_Kinnaur,UT_Uttarkashi
HP_Kullu,HP_Lahaul and Spiti
HP_Kullu,HP_Mandi
HP_Kullu,HP_Shimla
HP_Lahaul and Spiti,JK_Kishtwar
HP_Lahaul and Spiti,LA_Kargil
HP_Lahaul and Spiti,LA_Leh
HP_Mandi,HP_Shimla
HP_Mandi,HP_Solan
HP_Shimla,HP_Sirmaur
HP_Shimla,HP_Solan
HP_Shimla,UT_Dehradun
HP_Shimla,UT_Uttarkashi
HP_Sirmaur,HP_Solan
HP_Sirmaur,HR_Ambala
HP_Sirmaur,HR_Panchkula
HP_Sirmaur,HR_Yamunanagar
HP_Sirmaur,UP_Saharanpur
HP_Sirmaur,UT_Dehradun
HP_Solan,HR_Panchkula
HP_Solan,PB_Rupnagar
HP_Solan,PB_S.A.S. Nagar
HP_Una,PB_Hoshiarpur
HP_Una,PB_Rupnagar
HR_Ambala,HR_Kurukshetra
HR_Ambala,HR_Panchkula
HR_Ambala,HR_Yamunanagar
HR_Ambala,PB_Patiala
HR_Ambala,PB_S.A.S. Nagar
HR_Bhiwani,HR_Charkhi Dadri
HR_Bhiwani,HR_Hisar
HR_Bhiwani,HR_Mahendragarh
HR_Bhiwani,HR_Rohtak
HR_Bhiwani,RJ_Churu
HR_Bhiwani,RJ_Hanumangarh
HR_Bhiwani,RJ_Jhunjhunu
HR_Charkhi Dadri,HR_Jhajjar
HR_Charkhi Dadri,HR_Mahendragarh
HR_Charkhi Dadri,HR_Rohtak
HR_Faridabad,HR_Gurugram
HR_Faridabad,HR_Palwal
HR_Faridabad,UP_Gautam Buddha Nagar
HR_Fatehabad,HR_Hisar
HR_Fatehabad,HR_Jind
HR_Fatehabad,HR_Sirsa
HR_Fatehabad,PB_Mansa
HR_Fatehabad,PB_Sangrur
HR_Fatehabad,RJ_Hanumangarh
HR_Gurugram,HR_Jhajjar
HR_Gurugram,HR_Nuh
HR_Gurugram,HR_Palwal
HR_Gurugram,HR_Rewari
HR_Hisar,HR_Jind
HR_Hisar,HR_Rohtak
HR_Hisar,RJ_Hanumangarh
HR_Jhajjar,HR_Mahendragarh
HR_Jhajjar,HR_Rewari
HR_Jhajjar,HR_Rohtak
HR_Jhajjar,HR_Sonipat
HR_Jind,HR_Kaithal
HR_Jind,HR_Karnal
HR_Jind,HR_Panipat
HR_Jind,HR_Rohtak
HR_Jind,HR_Sonipat
HR_Jind,PB_Patiala
HR_Jind,PB_Sangrur
HR_Kaithal,HR_Karnal
HR_Kaithal,HR_Kurukshetra
HR_Kaithal,PB_Patiala
HR_Karnal,HR_Kurukshetra
HR_Karnal,HR_Panipat
HR_Karnal,HR_Yamunanagar
HR_Karnal,UP_Saharanpur
HR_Karnal,UP_Shamli
HR_Kurukshetra,HR_Yamunanagar
HR_Kurukshetra,PB_Patiala
HR_Mahendragarh,HR_Rewari
HR_Mahendragarh,RJ_Alwar
HR_Mahendragarh,RJ_Jaipur
HR_Mahendragarh,RJ_Jhunjhunu
HR_Mahendragarh,RJ_Sikar
HR_Nuh,HR_Palwal
HR_Nuh,HR_Rewari
HR_Nuh,RJ_Alwar
HR_Nuh,RJ_Bharatpur
HR_Nuh,UP_Mathura
HR_Palwal,UP_Aligarh
HR_Palwal,UP_Gautam Buddha Nagar
HR_Palwal,UP_Mathura
HR_Panchkula,PB_S.A.S. Nagar
HR_Panipat,HR_Sonipat
HR_Panipat,UP_Baghpat
HR_Panipat,UP_Shamli
HR_Rewari,RJ_Alwar
HR_Rohtak,HR_Sonipat
HR_Sirsa,PB_Bathinda
HR_Sirsa,PB_Mansa
HR_Sirsa,PB_Sri Muktsar Sahib
HR_Sirsa,RJ_Hanumangarh
HR_Sonipat,UP_Baghpat
HR_Yamunanagar,UP_Saharanpur
JH_Bokaro,JH_Dhanbad
JH_Bokaro,JH_Giridih
JH_Bokaro,JH_Hazaribagh
JH_Bokaro,JH_Ramgarh
JH_Bokaro,WB_Purulia
JH_Chatra,JH_Hazaribagh
JH_Chatra,JH_Latehar
JH_Chatra,JH_Palamu
JH_Chatra,JH_Ranchi
JH_Deoghar,JH_Dumka
JH_Deoghar,JH_Giridih
JH_Deoghar,JH_Jamtara
JH_Dhanbad,JH_Giridih
JH_Dhanbad,JH_Jamtara
JH_Dhanbad,WB_Paschim Bardhaman
JH_Dhanbad,WB_Purulia
JH_Dumka,JH_Godda
JH_Dumka,JH_Jamtara
JH_Dumka,JH_Pakur
JH_Dumka,WB_Birbhum
JH_East Singhbhum,OR_Mayurbhanj
JH_East Singhbhum,WB_Jhargram
JH_East Singhbhum,WB_Purulia
JH_Garhwa,JH_Latehar
JH_Garhwa,JH_Palamu
JH_Garhwa,UP_Sonbhadra
JH_Giridih,JH_Hazaribagh
JH_Giridih,JH_Jamtara
JH_Giridih,JH_Koderma
JH_Godda,JH_Pakur
JH_Godda,JH_Sahibganj
JH_Gumla,JH_Khunti
JH_Gumla,JH_Latehar
JH_Gumla,JH_Lohardaga
JH_Gumla,JH_Ranchi
JH_Gumla,JH_Simdega
JH_Hazaribagh,JH_Koderma
JH_Hazaribagh,JH_Ramgarh
JH_Hazaribagh,JH_Ranchi
